"","plot_quad","AGHE","ALAC","ANLU","BA_0","BROM","BRTE","CAQU","CATE","CLLI","COPA","DAUN","DEDA","DEDI","DODE","EPBR","JUNC","LEAF","LITH","LITT","LOLE","LONU","MADI","MAMI","MIGR","NAVA","NEPA","POAC","PODO","POPO","POSE","PSSP","SAAN","SEST","SIID","TRGR","TRMA","TROB","VEDU","ZICO"
"268","SEEP04_CC1",0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,2,0,0,0,1,0,0,0,70,0
"269","SEEP04_CC2",0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,22,0
"270","SEEP04_CC3",0,0,4,0,7,0,0,0,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,1,0,0,0,12,0
"281","SEEP05_C.1",0,0,0,0,0,0,4,0.25,0,0,0,0.25,0,7,0,0,13,0,24,20,0,0,0,0,0,0,42,0,0,0,0,0,0,0,17,0,0,2,3
"282","SEEP05_C.2",0,0,0,0,0,0,8,0,0,0,0,5,0,0,0,0,20,0,6,7,0,0,0,1,0,0,10,0,0,0,0,0,0,0,20,0,0,4,0
"283","SEEP05_C.3",0,0,0,0,0,0,3,0,1,0,0,1,0,0,0,0,19,0,30,23,0,0,0,2,2,0,13,0,0,0,0,0,0,0,8,0,0,11,0
"284","SEEP05_C.4",0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,20,0,4,12,0,0,0,0,1,0,25,0,0,0,0,0,0,0,25,0,0,8,0
"285","SEEP05_C.5",0,0,0,0,0,0,7,0,1,0,0,1,0,0,0,0,20,0,5,9,0,0,0,0,2,0,18,0,0,5,0,0,0,0,20,0,0,17,0
"286","SEEP05_C.6",0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,7,0,6,14,0,0,0,0,1,0,4,0,0,0,0,0,0,0,16,0,0,45,0
"287","SEEP05_C.7",0,0,0,0,0,0,6,0,0,0,0,0.25,0,0,0,0,8,0,0,27,0,0,0,0.25,0.25,0,0,0,0,4,0,0,0,0,12,0,0,22,0
"288","SEEP05_CC1",0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,15,0,2,23,0,0,0,0,0.25,0,65,0,0,0,0,0,0,0,14,0,0,0.25,5
"289","SEEP05_CC2",0,0,0,0,0,0,2,0,0,0,0,30,0,0,0,0,21,0,4,7,0,0,0,0,2,0,8,0,0,0,0,0,0,0,7,0,0,0,4
"290","SEEP05_CC3",0,0,0,0,0,0,2,0,1,0,0,8,0,0,0,0,6,0,3,11,0,0,0,0.25,2,0,15,0,0.25,0,0,0,0,0,20,0,0,13,2
