plot_quad,AGHE2,ALAC4,ANLU2,HEPU6,BRAR5,BRTE,CAQU2,CATE26,MOLI4,COPA3,DAUN,DEDA,DEDI11,DODEC,EPBR3,JUTE,ALLIU,LIGL2,ELBE,LOBIL,LONU2,MAGR3,HEMI20,MIGR,NAVAR,NEPA,POAC,PODO4,POPO4,POSE,PSSP6,SAAN2,SEST2,SIID,TRGR7,TRMA3,TROB,VEDU,ZIVE
ARAR05_C.6,1,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,17,0
ARAR05_C.7,3,0,0,0,8,0,0,0,0.25,0,5,0,0,0,0,0,0,0,0,0,0,0,8,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
ARRI01_C.1,3,0,0,0,0,0,0,0,0.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,2,0,20,0
ARRI01_C.2,1,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0.25,0,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,0,0,0,0,0,18,0
ARRI01_C.3,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,6,0,0,0,0,0,0,0,13,0
ARRI01_C.4,1,0,0,0,1,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,19,0
ARRI01_C.5,6,0,0,0,0,0,0,0,0.25,0.25,0,0,0,0,0.25,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,28,0
ARRI01_C.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0.25,0,0,0,0,0,0,0,0,8,0
ARRI01_C.7,0.25,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0.25,0,0,0,0,6,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,17,0
ARRI02_C.1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,45,0
ARRI02_C.2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,14,0,25,0
ARRI02_C.3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,14,0,22,0
ARRI02_C.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,17,0,11,0
ARRI02_C.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,4,0,33,0
ARRI02_C.6,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,11,0,17,0
