"","r2","AIC","AICc","AICcweights","mod","modcat","weighted_r2","mean_r2","average_AICc","deltaAICc"
"1",0.0806199367815318,234.712472021951,235.578451403394,0.01753,"dif.sla","dif",0.0657301825609769,0.0590202832973717,235.945399758044,5.20863149140757
"2",0.0497197559143977,235.917238154984,236.783217536427,0.009598,"dif.rs","dif",0.0657301825609769,0.0590202832973717,235.945399758044,6.41339762444045
"3",0.0485992229005206,235.237280506309,236.103259887752,0.013484,"dif.rl","dif",0.0657301825609769,0.0590202832973717,235.945399758044,5.73343997576558
"4",0.0456849519891768,236.944552901704,237.810532283147,0.005742,"dif.rd","dif",0.0657301825609769,0.0590202832973717,235.945399758044,7.44071237116037
"5",0.07355181066295,234.45711991858,235.323099300023,0.019918,"dif.fr","dif",0.0657301825609769,0.0590202832973717,235.945399758044,4.95327938803621
"6",0.0719418712628745,232.548773559464,233.414752940907,0.051717,"dif.ht","dif",0.0657301825609769,0.0590202832973717,235.945399758044,3.04493302892047
"7",0.0430244335701506,235.738505573216,236.60448495466,0.010495,"dif.n","dif",0.0657301825609769,0.0590202832973717,235.945399758044,6.23466504267287
"8",0.0806137678508823,234.521709483378,235.387688864821,0.019285,"dis.sla","dis",0.0638581908651355,0.0583671716709534,235.986724976306,5.01786895283459
"9",0.0497197559143977,235.917238154984,236.783217536427,0.009598,"dis.rs","dis",0.0638581908651355,0.0583671716709534,235.986724976306,6.41339762444045
"10",0.0485306236379426,235.240589652955,236.106569034398,0.013462,"dis.rl","dis",0.0638581908651355,0.0583671716709534,235.986724976306,5.73674912241137
"11",0.0456849519891768,236.944552901704,237.810532283147,0.005742,"dis.rd","dis",0.0638581908651355,0.0583671716709534,235.986724976306,7.44071237116037
"12",0.0734652308690454,234.417887418045,235.283866799488,0.020312,"dis.fr","dis",0.0638581908651355,0.0583671716709534,235.986724976306,4.91404688750134
"13",0.0675314378650785,233.064735979754,233.930715361197,0.039957,"dis.ht","dis",0.0638581908651355,0.0583671716709534,235.986724976306,3.56089544921053
"14",0.0430244335701506,235.738505573216,236.60448495466,0.010495,"dis.n","dis",0.0638581908651355,0.0583671716709534,235.986724976306,6.23466504267287
"15",0.0349221879118236,235.520404066619,236.386383448063,0.011704,"gap.sla","gap",0.0361820761623314,0.0350197623630431,233.566843295658,6.01656353607575
"16",0.0256891232594875,234.665239870252,235.531219251695,0.017949,"gap.rs","gap",0.0361820761623314,0.0350197623630431,233.566843295658,5.16139933970868
"17",0.0430435784934119,233.577480806579,234.443460188022,0.030921,"gap.rl","gap",0.0361820761623314,0.0350197623630431,233.566843295658,4.07364027603569
"18",0.0376866791193204,229.503840530543,230.369819911987,0.237044,"gap.rd","gap",0.0361820761623314,0.0350197623630431,233.566843295658,0
"19",0.0342636431578051,232.881999738862,233.747979120305,0.04378,"gap.fr","gap",0.0361820761623314,0.0350197623630431,233.566843295658,3.37815920831827
"20",0.0373611862925001,231.456204879116,232.322184260559,0.089306,"gap.ht","gap",0.0361820761623314,0.0350197623630431,233.566843295658,1.95236434857259
"21",0.0321719383069528,231.300877507529,232.166856888973,0.096518,"gap.n","gap",0.0361820761623314,0.0350197623630431,233.566843295658,1.79703697698574
"22",0.0773674722537187,229.604207708999,230.470187090442,0.225442,"bio.bio","bio",0.0773674722537187,0.0773674722537187,230.470187090442,0.100367178455087
